sampleid,oils,ketones,acetate,phenols,quantity0,soluble_mixture,length,maceration time,quantity1,ingredient1,ingredient0,soluble_components,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,quantity2,quantity3,quantity4,quantity5,quantity6,quantity7,quantity8,quantity9,quantity10,quantity11,quantity12,quantity13,quantity14,quantity15,quantity16,quantity17,PROPERTY:Diffusion Rate (10^6),PROPERTY: Staining Factor,PROPERTY: color wavelength,PROPERTY: color,PROPERTY: Survey Results
PER24-538,5,3,1,4,94.74,5.26,13,59,4.29,WATER,ETHYL ALCOHOL,0.97,EUCALYPTUS SPECIES LEAF OIL,CITRUS NOBILIS LEAF OIL,BAROSMA BETULINA LEAF OIL,CITRUS PARADISI M. PEEL OIL EXPRESSED,THUJOPSIS DOLABRATA LEAF OIL,CYCLOHEXYL CYCLOPENTENEACETATE,METHYLHEPTENONE ISOMERS,TRANS-5-OCTENONE,2-HEPTYLCYCLOPENTANONE,CARVACROL,AMYL ALCOHOL,TETRAMETHYL-HEXADECATETRAEN-3-OL,TRIMETHYL-2-CYCLOHEXENOL,,,,0.108652597,0.02362013,0.096055195,0.039366883,0.034642857,0.07086039,0.154318182,0.040941558,0.116525974,0.151168831,0.092905844,0.007873377,0.033068182,,,,2413.158,0.29,672.781,red,30
PER21-263,2,1,2,3,94.7,5.3,8,38,4.32,WATER,ETHYL ALCOHOL,0.98,STYRAX TONKINENSIS RESIN OIL,LAVANDULA INTERMEDIA FLOWER/LEAF/STEM OIL,5-MELOZOL ACETATE,BENZYL ACETATE,PENTANEDIONE,FARNESOL,ISOPROPYLCYCLOHEXANOL,GERANIOL,,,,,,,,,0.01388102,0.158243626,0.244305949,0.058300283,0.227648725,0.222096317,0.036090652,0.019433428,,,,,,,,,2465.337,0.35,672.268,red,50
PER77-89,6,1,2,3,94.68,5.32,12,19,4.33,WATER,ETHYL ALCOHOL,0.99,CITRUS SINENSIS VALENCIA PEEL OIL EXPRESSED,VITIS VINIFERA OIL,PIMENTA OFFICINALIS FRUIT OIL,COMMIPHORA ABYSSINICA GUM OIL,ARNICA MONTANA FLOWER OIL,VERBENA OFFICINALIS LEAF RECTIFIED OIL,CITRONELLYL PHENYLACETATE,M-TOLYL PHENYLACETATE,"3,4-DIHYDRO-8-METHYLNAPHTHALENONE",CYCLOHEXYLPROPANOL,TRIMETHYL-VINYLTETRAHYDROFURAN-2-METHANOL,SANTALOL,,,,,0.081268657,0.241343284,0.113283582,0.041865672,0.091119403,0.073880597,0.103432836,0.036940299,0.120671642,0.029552239,0.00738806,0.049253731,,,,,2469.9808,0.23,669.78,red,32
PER97-594,5,3,2,1,94.67,5.33,11,78,4.34,WATER,ETHYL ALCOHOL,0.99,PINUS PALUSTRIS TWIG LEAF OIL,CYPERUS SCARIOSUS ROOT OIL,CITRUS NOBILIS LEAF OIL,ROSMARINUS OFFICINALIS FLOWER OIL,STYRAX BENZOIN RESIN OIL,ETHYL PHENOXYACETATE,ISOPROPYL-METHYLHEXENYL ACETATE,NEOHESPERIDIN DIHYDROCHALCONE,2-FURYL METHYL KETONE,4-METHYLPENT-3-EN-2-ONE,AMYL ALCOHOL,,,,,,0.145840555,0.089220104,0.09779896,0.056620451,0.053188908,0.049757366,0.078925477,0.144124783,0.121819757,0.08407279,0.068630849,,,,,,2480.4361,0.14,665.2665,red,58
PER34-141,7,1,1,1,94.63,5.37,10,80,4.37,WATER,ETHYL ALCOHOL,1,CITRUS MEDICA ACIDA PEEL OIL EXPRESSED,LAVANDULA SPICA HERB OIL,SALVIA OFFICINALIS LAVANDULIFOLIA HERB OIL,ORMENIS MULTICAULIS FLOWER OIL,COMMIPHORA ERYTHREA GLABRESCENS GUM OIL,ROSMARINUS OFFICINALIS FLOWER OIL,STYRAX BENZOIN RESIN OIL,P-TERT-BUTYLPHENYL ACETATE,"3,4-DIHYDRO-7-METHYLNAPHTHALENONE",FARNESOL,,,,,,,0.016091954,0.142528736,0.096551724,0.045977011,0.062068966,0.050574713,0.156321839,0.105747126,0.179310345,0.144827586,,,,,,,2531.86365,0.21,664.84,red,27
PER70-43,4,1,0,3,94.62,5.38,8,39,4.37,WATER,ETHYL ALCOHOL,1.01,MELILOTUS OFFICINALIS HERB OIL,VERBENA OFFICINALIS LEAF RECTIFIED OIL,COMMIPHORA ERYTHREA GLABRESCENS GUM OIL,COMMIPHORA MYRRHA GUM OIL,METHYL THIAZOLYL KETONE,2-DECENOL,GUAIACOL,4-METHYLPENTAN-2-OL,,,,,,,,,0.188227273,0.07575,0.101,0.052795455,0.084931818,0.22725,0.135431818,0.144613636,,,,,,,,,2536.14626,0.28,664.41,red,75
PER55-71,4,1,0,4,94.61,5.39,9,80,4.38,WATER,ETHYL ALCOHOL,1.01,COMMIPHORA ABYSSINICA GUM OIL,CITRUS AURANTIUM LEAF OIL,ROSMARINUS OFFICINALIS FLOWER OIL,COMMIPHORA ERYTHREA GLABRESCENS GUM OIL,PENTAMETHYL-CYCLOPENT-1-ENYL METHYL KETONE,2-O-CRESYLETHANOL,"2,6-DIMETHYL-4-HEPTANOL",P-CRESOL,DIMETHYLPHENYL CARBINOL,,,,,,,,0.035776567,0.06880109,0.258692098,0.071553134,0.096321526,0.17613079,0.019264305,0.066049046,0.217411444,,,,,,,,2546.650295,0.22,662.673,red,82
PER52-248,6,1,1,2,94.52,5.48,10,53,4.44,WATER,ETHYL ALCOHOL,1.04,RAVENSARA AROMATICA TWIG OIL,FOENICULUM VULGARE CAPILLACEUM FRUIT OIL,CYMBOPOGON NARDUS HERB OIL,MYROCARPUS FRONDOSUS WOOD OIL,CITRUS AURANTIUM LEAF OIL,PELARGONIUM CRISPUM LEAF OIL,"2,3,6-TRIMETHYLCYCLOHEXYLMETHYL ACETATE",AMYLCYCLOPENTANONE,"6,8-DIMETHYL-2-NONANOL",ISOPROPYLCYCLOHEXANOL,,,,,,,0.171501057,0.021987315,0.019788584,0.090147992,0.195687104,0.153911205,0.147315011,0.004397463,0.046173362,0.189090909,,,,,,,2597.363968,0.18,662.14195,red,57
PER10-447,4,2,2,4,94.48,5.52,12,88,4.47,WATER,ETHYL ALCOHOL,1.05,THYMUS SERPILLUM OIL,COMMIPHORA MYRRHA GUM OIL,SALVIA OFFICINALIS LAVANDULIFOLIA HERB OIL,CITRUS MEDICA ACIDA PEEL OIL EXPRESSED,ISOPROPYL-METHYLHEXENYL ACETATE,DIMETHYL PHENYLETHYL CARBINYL ACETATE,CARVONE,TRANS-ROSE KETONE-5,"6,8-DIMETHYL-2-NONANOL",2-HEXENOL,PINACOL,TRIMETHYL-VINYLTETRAHYDROFURAN-2-METHANOL,,,,,0.020551601,0.063523132,0.013078292,0.005604982,0.089679715,0.145729537,0.132651246,0.097153025,0.164412811,0.175622776,0.001868327,0.140124555,,,,,2611.85378,0.23,661.95,red,30
PER97-87,7,3,1,3,94.47,5.53,14,20,4.48,WATER,ETHYL ALCOHOL,1.05,ARNICA MONTANA FLOWER OIL,HELICHRYSUM STOECHAS FLOWER OIL,FOENICULUM VULGARE FRUIT OIL ,ORMENIS MULTICAULIS FLOWER OIL,CYMBOPOGON NARDUS HERB OIL,PELARGONIUM CRISPUM LEAF OIL,IRIS PALLIDA ROOT OIL,3-HEXENYL ACETATE,"METHYL 2,6,10-TRIMETHYLCYCLODODECA-2,5,9-TRIENYL KETONE",METHYL THIAZOLYL KETONE,TRANS-5-METHYL-2-HEPTEN-4-ONE,TETRAMETHYL-HEXADECATETRAEN-3-OL,3-ETHYLPHENOL,AMYL ALCOHOL,,,0.047657394,0.049194729,0.149121523,0.116837482,0.032284041,0.067642753,0.093777452,0.129136164,0.076866764,0.063030747,0.016910688,0.036896047,0.073792094,0.096852123,,,2661.889269,0.31,661.6546,red,86
PER81-423,5,3,1,0,94.46,5.54,9,89,4.48,WATER,ETHYL ALCOHOL,1.06,MELILOTUS OFFICINALIS HERB OIL,CYPERUS SCARIOSUS ROOT OIL,PINUS MUGO PUMILIO TWIG LEAF OIL,VERBENA OFFICINALIS LEAF RECTIFIED OIL,CINNAMOMUM CAMPHORA FORMOSANA LEAF OIL RECTIFIED,CIS-3-HEPTENYL ACETATE,"2,6-DIMETHYL-4-HEPTANONE","METHYL 2,6,10-TRIMETHYLCYCLODODECA-2,5,9-TRIENYL KETONE",3-BUTYL-4-METHYLPHENYL METHYL KETONE,,,,,,,,0.168789809,0.139532909,0.027006369,0.0585138,0.123779193,0.146284501,0.092271762,0.220552017,0.083269639,,,,,,,,2724.96,0.04,659.291,red,92
PER82-270,4,1,2,1,94.43,5.57,8,19,4.5,WATER,ETHYL ALCOHOL,1.07,THYMUS SERPILLUM OIL,TRIGONELLA FOENUM-GRAECUM SEED OIL,LAVANDULA SPICA HERB OIL,THUJA OCCIDENTALIS STEM OIL,ETHYL LACTATE,LAURYL ACETATE,"METHYL 2,6,10-TRIMETHYLCYCLODODECA-2,5,9-TRIENYL KETONE",CITROL,,,,,,,,,0.164220624,0.066714628,0.041055156,0.248896882,0.220671463,0.094940048,0.10263789,0.130863309,,,,,,,,,2792.294,0.24,655.003175,red,80
PER46-154,3,3,0,1,94.39,5.61,7,76,4.53,WATER,ETHYL ALCOHOL,1.08,FOENICULUM VULGARE FRUIT OIL ,SALVIA OFFICINALIS LAVANDULIFOLIA HERB OIL,LEVISTICUM OFFICINALE LEAF OIL,CARVONE,GAMMA-CAPROLACTONE,TRANS-ROSE KETONE-5,D-TRIMETHYL-3-CYCLOHEXENE-1-METHANOL,,,,,,,,,,0.040123839,0.290897833,0.217337461,0.12371517,0.237399381,0.160495356,0.01003096,,,,,,,,,,2858.5613,0.42,654.598,red,67
PER71-159,6,0,0,0,94.34,5.66,6,90,4.56,WATER,ETHYL ALCOHOL,1.1,FOENICULUM VULGARE CAPILLACEUM FRUIT OIL,LAVANDULA SPICA HERB OIL,IRIS PALLIDA ROOT OIL,CITRUS NOBILIS LEAF OIL,SALVIA OFFICINALIS LAVANDULIFOLIA HERB OIL,SANTALUM SPICATA WOOD OIL,,,,,,,,,,,0.04245614,0.35122807,0.069473684,0.17754386,0.235438596,0.223859649,,,,,,,,,,,2914.96,0.1,654.1895,red,40
PER75-509,7,3,0,4,94.32,5.68,14,55,4.58,WATER,ETHYL ALCOHOL,1.1,THUJA PLICATA LEAF OIL,COMMIPHORA SCHIMPERI GUM OIL,CITRUS SINENSIS VALENCIA PEEL OIL EXPRESSED,PELARGONIUM CRISPUM LEAF OIL,BAROSMA BETULINA LEAF OIL,CINNAMOMUM CAMPHORA LINALOOLIFERUM LEAF OIL,RAVENSARA AROMATICA TWIG OIL,PENTANEDIONE,HYDROXYCITRONELLAL DIMETHYL ACETAL,BUTYLOXEPANONE,CYCLOHEXYLPROPANOL,TRIMETHYL-VINYLTETRAHYDROFURAN-2-METHANOL,"6,8-DIMETHYL-2-NONANOL",PHENYLPENTANOL,,,0.013387424,0.116024341,0.078093306,0.042393509,0.029006085,0.049087221,0.218661258,0.006693712,0.10040568,0.024543611,0.098174442,0.055780933,0.200811359,0.06693712,,,2923.815235,0.1,652.53935,red,27
PER62-349,6,2,0,0,94.23,5.77,8,88,4.64,WATER,ETHYL ALCOHOL,1.13,CYMBOPOGON NARDUS HERB OIL,CINNAMOMUM CAMPHORA LINALOOLIFERUM LEAF OIL,COMMIPHORA ABYSSINICA GUM OIL,RAVENSARA AROMATICA TWIG OIL,COMMIPHORA SCHIMPERI GUM OIL,THUJA OCCIDENTALIS STEM OIL,3-BUTYL-4-METHYLPHENYL METHYL KETONE,GAMMA-NONALACTONE,,,,,,,,,0.092191142,0.255501166,0.076386946,0.102727273,0.221258741,0.08955711,0.052680653,0.23969697,,,,,,,,,2981.66,0.22,652.0348525,red,52
PER35-21,4,2,1,4,94.21,5.79,11,10,4.65,WATER,ETHYL ALCOHOL,1.14,CITRUS PARADISI M. PEEL OIL EXPRESSED,VERBENA OFFICINALIS LEAF RECTIFIED OIL,STYRAX TONKINENSIS RESIN OIL,THUJA OCCIDENTALIS STEM OIL,ISOTRIDECYL ACETATE,"METHYL 2,6,10-TRIMETHYLCYCLODODECA-2,5,9-TRIENYL KETONE",CARVONE,2-DECENOL,DIMETHYLBENZYL CARBINOL,2-METHYLFURAN-3-THIOL,BETA-PINEN-3-OL,,,,,,0.207272727,0.018842975,0.141322314,0.01177686,0.035330579,0.115413223,0.061239669,0.174297521,0.021198347,0.221404959,0.131900826,,,,,,2981.938,0.27,652.02,red,84
PER9-122,3,0,2,3,94.21,5.79,8,81,4.65,WATER,ETHYL ALCOHOL,1.14,THUJA PLICATA LEAF OIL,CITRUS PARADISI M. PEEL OIL EXPRESSED,BAROSMA BETULINA LEAF OIL,"2,4-HEXADIENYL ACETATE",CEDRENYL ACETATE,3-ETHYLPHENOL,ISOBUTYL LINALOOL,FARNESOL,,,,,,,,,0.138428571,0.181178571,0.008142857,0.087535714,0.166928571,0.191357143,0.179142857,0.187285714,,,,,,,,,2988.106473,0.25,651.8525,red,72
PER10-50,2,0,1,2,94.18,5.82,5,11,4.67,WATER,ETHYL ALCOHOL,1.15,CITRUS NOBILIS LEAF OIL,LAVANDULA SPICA HERB OIL,1-METHYLDECYL ACETATE,4-METHYLPENTAN-2-OL,GUAIACOL,,,,,,,,,,,,0.387843137,0.193921569,0.031568627,0.288627451,0.248039216,,,,,,,,,,,,3017.22,0.2,651.57187,red,64
PER20-62,2,3,2,1,94.19,5.81,8,30,4.66,WATER,ETHYL ALCOHOL,1.15,OPOPANAX CHIRONIUM RESIN STEAM-DISTILLED OIL,CYMBOPOGON NARDUS HERB OIL,ISOTRIDECYL ACETATE,M-CRESYL ACETATE,BUTYROPHENONE,DIMETHYLCYCLOHEXENYL TERT-BUTYL KETONE,"6-ETHYLIDENEOCTAHYDRO-5,8-METHANO-2H-1-BENZOPYRAN-2-ONE",METHYLOCTENOL,,,,,,,,,0.184150327,0.255555556,0.124019608,0.161601307,0.01127451,0.093954248,0.154084967,0.165359477,,,,,,,,,3047.8671,0.23,649.42,orange,24
PER9-446,6,2,1,2,94.14,5.86,11,22,4.7,WATER,ETHYL ALCOHOL,1.16,PINUS PALUSTRIS TWIG LEAF OIL,VERBENA OFFICINALIS LEAF RECTIFIED OIL,COMMIPHORA ABYSSINICA GUM OIL,PINUS MUGO PUMILIO TWIG LEAF OIL,ARNICA MONTANA FLOWER OIL,ORMENIS MULTICAULIS FLOWER OIL,10-UNDECENYL ACETATE,GAMMA-DODECALACTONE,GAMMA-NONALACTONE,TRIMETHYLTRICYCLODODECANOL,2-O-CRESYLETHANOL,,,,,,0.153439153,0.118659612,0.012275132,0.098201058,0.126843034,0.05319224,0.18617284,0.069559083,0.130934744,0.15957672,0.051146384,,,,,,3048.144,0.22,649.35,orange,53
PER72-465,7,0,1,0,93.99,6.01,8,73,4.8,WATER,ETHYL ALCOHOL,1.21,VITIS VINIFERA OIL,VERBENA OFFICINALIS LEAF RECTIFIED OIL,THUJA PLICATA LEAF OIL,COMMIPHORA MYRRHA GUM OIL,FOENICULUM VULGARE VULGARE FRUIT OIL,THUJA OCCIDENTALIS STEM OIL,COMMIPHORA ABYSSINICA GUM OIL,TRANS-DIHYDROPSEUDOIONYL ACETATE,,,,,,,,,0.120052219,0.145326371,0.031592689,0.221148825,0.078981723,0.240104439,0.306449086,0.066344648,,,,,,,,,3083.661,0.19,649.32645,orange,35
PER47-138,5,0,2,4,93.95,6.05,11,32,4.83,WATER,ETHYL ALCOHOL,1.22,THUJOPSIS DOLABRATA LEAF OIL,CITRUS AURANTIUM LEAF OIL,CINNAMOMUM CAMPHORA FORMOSANA LEAF OIL RECTIFIED,RAVENSARA AROMATICA TWIG OIL,CYPERUS SCARIOSUS ROOT OIL,ISOPENTYL CYCLOHEXYL ACETATE,ETHYL PALMITATE,PENTAMETHYLCYCLOHEXANEPROPANOL,BETA-METHYL-CYCLODODECANEETHANOL,ISOBUTYL LINALOOL,SANTALOL,,,,,,0.034228457,0.166252505,0.22004008,0.041563126,0.056232465,0.207815631,0.014669339,0.227374749,0.200480962,0.022004008,0.029338677,,,,,,3112.799745,0.27,645.2530163,orange,25
PER0-152,3,2,0,3,93.9,6.1,8,19,4.86,WATER,ETHYL ALCOHOL,1.24,ORMENIS MULTICAULIS FLOWER OIL,THUJA PLICATA LEAF OIL,CITRUS MEDICA ACIDA PEEL OIL EXPRESSED,GAMMA-CAPROLACTONE,2-FURYL METHYL KETONE,METHYLOCTENOL,SANTALOL,DIPROPYLENE GLYCOL,,,,,,,,,0.033596059,0.284039409,0.088571429,0.247389163,0.073300493,0.07635468,0.235172414,0.201576355,,,,,,,,,3113.6038,0.32,644.8681,orange,38
PER51-624,4,2,0,0,93.82,6.18,6,9,4.91,WATER,ETHYL ALCOHOL,1.27,STYRAX TONKINENSIS RESIN OIL,BAROSMA BETULINA LEAF OIL,TRIGONELLA FOENUM-GRAECUM SEED OIL,EUCALYPTUS SMITHII LEAF OIL,ISOPROPYL-METHYLBICYCLOHEXANONE,BUTYLOXEPANONE,,,,,,,,,,,0.014682081,0.172514451,0.282630058,0.190867052,0.352369942,0.256936416,,,,,,,,,,,3149.07995,0.43,644.480025,orange,55
PER81-510,3,0,2,4,93.83,6.17,9,57,4.9,WATER,ETHYL ALCOHOL,1.27,ROSMARINUS OFFICINALIS FLOWER OIL,THYMUS SERPILLUM OIL,JUNIPERUS MEXICANA WOOD OIL,"3,5-DIMETHYLCYCLOHEXYLMETHYL ACETATE",5-MELOZOL ACETATE,4-METHYLPENTAN-2-OL,CYCLOHEXYLPROPANOL,METHOXY-METHYLBUTANETHIOL,2-DODECENOL,,,,,,,,0.210876866,0.092406716,0.085298507,0.075820896,0.106623134,0.172966418,0.227462687,0.090037313,0.208507463,,,,,,,,3176.785758,0.3,644.37,orange,80
PER91-289,5,2,1,2,93.82,6.18,10,75,4.91,WATER,ETHYL ALCOHOL,1.27,ANETHUM SOWA SEED OIL,MELILOTUS OFFICINALIS HERB OIL,THUJA OCCIDENTALIS STEM OIL,FOENICULUM VULGARE FRUIT OIL ,FOENICULUM VULGARE CAPILLACEUM FRUIT OIL,LAURYL ACETATE,TRANS-ROSE KETONE-5,ETHYL PROPYL KETONE,TRIMETHYLTRICYCLODODECANOL,DIMETHYLBENZYL CARBINOL,,,,,,,0.054570313,0.173632813,0.223242188,0.101699219,0.069453125,0.1190625,0.091777344,0.109140625,0.128984375,0.1984375,,,,,,,3178.09061,0.32,642.9123825,orange,26
PER75-621,2,2,1,2,93.78,6.22,7,23,4.94,WATER,ETHYL ALCOHOL,1.28,BAROSMA BETULINA LEAF OIL,CINNAMOMUM CAMPHORA LINALOOLIFERUM LEAF OIL,P-TOLYL PHENYLACETATE,"2,6-DIMETHYL-4-HEPTANONE","6-ETHYLIDENEOCTAHYDRO-5,8-METHANO-2H-1-BENZOPYRAN-2-ONE",PINACOL,FARNESOL,,,,,,,,,,0.045252525,0.232727273,0.274747475,0.316767677,0.038787879,0.245656566,0.126060606,,,,,,,,,,3213.527953,0.15,642.44,orange,88
PER90-367,6,3,2,1,93.78,6.22,12,33,4.94,WATER,ETHYL ALCOHOL,1.28,ARTEMISIA HERBA-ALBA HERB OIL,FOENICULUM VULGARE CAPILLACEUM FRUIT OIL,CYPERUS SCARIOSUS ROOT OIL,COMMIPHORA ABYSSINICA GUM OIL,CITRUS NOBILIS LEAF OIL,MYROCARPUS FRONDOSUS WOOD OIL,ETHYL ACETATE,PHENETHYL PHENYLACETATE,DELTA-UNDECALACTONE,PENTANEDIONE,BUTYROPHENONE,2-DODECENOL,,,,,0.068571429,0.124835165,0.110769231,0.05978022,0.172307692,0.10021978,0.114285714,0.038681319,0.167032967,0.052747253,0.105494505,0.165274725,,,,,3241.65308,0.19,642.4331099,orange,22
PER9-196,6,0,1,0,93.8,6.2,7,46,4.92,WATER,ETHYL ALCOHOL,1.28,EUCALYPTUS SPECIES LEAF OIL,OPOPANAX CHIRONIUM RESIN STEAM-DISTILLED OIL,MELILOTUS OFFICINALIS HERB OIL,HELICHRYSUM STOECHAS FLOWER OIL,VERBENA OFFICINALIS LEAF RECTIFIED OIL,CINNAMOMUM CAMPHORA FORMOSANA LEAF OIL RECTIFIED,TRIMETHYLDODECATRIEN-3-YL ACETATE,,,,,,,,,,0.084087591,0.238248175,0.284963504,0.182189781,0.205547445,0.270948905,0.014014599,,,,,,,,,,3277.053555,0.15,642.419,orange,46
